model_description,train_from,train_to,test_on,shuffle,normalize,training_loss,rmse,rmse_cp,dir_acc
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",57000,82000,3000,False,seqs,8.5605e-05),0.0301%,0.0241%,57.1484%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",60000,85000,3000,False,seqs,1.0245e-04),0.0206%,0.0259%,71.2891%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",63000,88000,3000,False,seqs,9.9120e-05),0.0284%,0.0329%,54.9219%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",66000,91000,3000,False,seqs,1.2445e-04),0.0547%,0.0178%,48.4375%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",69000,94000,3000,False,seqs,9.4682e-05),0.0184%,0.0191%,56.2500%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",72000,97000,3000,False,seqs,9.4661e-05),0.0228%,0.0144%,50.0781%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",75000,100000,3000,False,seqs,8.7262e-05),0.0426%,0.0331%,54.1406%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",78000,103000,3000,False,seqs,9.4814e-05),0.0440%,0.0200%,47.3828%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",81000,106000,3000,False,seqs,6.4630e-05),0.0107%,0.0145%,76.2891%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",84000,109000,3000,False,seqs,5.7811e-05),0.0148%,0.0175%,69.4141%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",87000,112000,3000,False,seqs,4.8042e-05),0.1389%,0.0158%,44.4141%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",90000,115000,3000,False,seqs,5.5339e-05),0.0066%,0.0103%,76.2500%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",93000,118000,3000,False,seqs,7.2188e-05),0.0248%,0.0093%,55.2734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",96000,121000,3000,False,seqs,4.8111e-05),0.0090%,0.0100%,54.9609%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",99000,124000,3000,False,seqs,5.6088e-05),0.0401%,0.0060%,45.3516%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",102000,127000,3000,False,seqs,4.7235e-05),0.0078%,0.0117%,79.2969%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",105000,130000,3000,False,seqs,3.8723e-05),0.0186%,0.0129%,54.4531%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",108000,133000,3000,False,seqs,3.5306e-05),0.0330%,0.0090%,45.3125%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",111000,136000,3000,False,seqs,3.2858e-05),0.0095%,0.0103%,60.7422%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",114000,139000,3000,False,seqs,3.0833e-05),0.0153%,0.0252%,76.0547%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",117000,142000,3000,False,seqs,4.2550e-05),0.1448%,0.0297%,47.1094%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",120000,145000,3000,False,seqs,4.2264e-05),0.1375%,0.0492%,54.5703%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",123000,148000,3000,False,seqs,6.4367e-05),0.9422%,0.0248%,54.6094%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",126000,151000,3000,False,seqs,6.4936e-05),0.0261%,0.0137%,49.4141%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",129000,154000,3000,False,seqs,7.1111e-05),0.1004%,0.0097%,47.9297%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",132000,157000,3000,False,seqs,7.0707e-05),0.0300%,0.0372%,60.2734%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",135000,160000,3000,False,seqs,6.7694e-05),0.0592%,0.0119%,46.9531%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",138000,163000,3000,False,seqs,7.1738e-05),0.0051%,0.0050%,63.3984%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",141000,166000,3000,False,seqs,7.3810e-05),0.0098%,0.0142%,71.4453%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",144000,169000,3000,False,seqs,7.8522e-05),0.0108%,0.0105%,52.1875%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",147000,172000,3000,False,seqs,5.4219e-05),0.0058%,0.0057%,59.7266%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",150000,175000,3000,False,seqs,5.4022e-05),0.0072%,0.0046%,52.5391%
"RNN(100|0.1|50|0.1|linear, RMSprop, mse) close batch_size=512 epochs=3 seq_len=100 pred_len=100",153000,178000,3000,False,seqs,6.1184e-05),0.0128%,0.0077%,48.3984%
